Designator,Footprint,Quantity,Value,LCSC Part #
"J1, J2",PinHeader_1x14_P2.54mm_Vertical,2,Conn_01x14_Male,
J3,BM28B0.6-24DS,1,Conn_02x14_Odd_Even,
