Designator,Mid X,Mid Y,Rotation,Layer
C1,81.28,-67.31,90.0,top
C2,83.82,-67.31,90.0,top
J1,76.2,-72.375,0.0,bottom
J2,88.9,-72.375,0.0,bottom
U1,82.1875,-72.39,270.0,top
