Designator,Mid X,Mid Y,Rotation,Layer
C1,108.0,-107.0,270.0,bottom
C2,106.0,-107.0,270.0,bottom
J2,100.0,-110.9,90.0,bottom
Q1,110.0,-110.5,180.0,bottom
R1,112.5,-106.0,0.0,bottom
R2,104.5,-107.5,270.0,bottom
R3,112.5,-107.5,180.0,bottom
